Specimen name,"CAG-CF-ER-Comp-E4"
Width,"9.80000",mm
Thickness,"2.30000",mm
Failure mode,Valid

Load,Extension,Front Strain,Rear Strain,Time
(kN),(mm),(usn),(usn),(s)
"4.28921","0.31300","3447.98062","3739.00589","18.80000"
"4.30942","0.31466","3468.81198","3759.10080","18.90000"
"4.32547","0.31607","3484.01512","3773.72885","19.00000"
"4.35385","0.31815","3509.17433","3802.22639","19.10000"
"4.37162","0.31968","3527.30905","3819.16622","19.20000"
"4.38771","0.32116","3543.41813","3839.15845","19.30000"
"4.41198","0.32308","3570.04488","3868.74075","19.40000"
"4.43205","0.32474","3587.56538","3888.97303","19.50000"
"4.45019","0.32630","3602.85467","3907.54594","19.60000"
"4.46828","0.32782","3618.99100","3925.67553","19.70000"
"4.49301","0.32972","3636.54364","3950.25825","19.80000"
"4.51405","0.33144","2992.54619","3968.27981","19.90000"
"4.52867","0.33283","-42089.96519","3982.95466","20.00000"
"4.55342","0.33472","4842.50020","4005.61374","20.10000"
"4.57570","0.33652","3657.62645","4028.47677","20.20000"
"4.58932","0.33789","3724.03790","4043.12927","20.30000"
"4.60965","0.33956","3741.72465","4062.12872","20.40000"
"4.62763","0.34130","-38094.10706","4881.58502","20.50000"
"4.65147","0.34316","5013.69359","4984.66333","20.60000"
"4.66550","0.34453","-1332.65217","5011.72058","20.70000"
"4.68851","0.34633","3789.44795","5032.01969","20.80000"
"4.71112","0.34816","3899.22084","5069.86957","20.90000"
"4.72422","0.34950","3913.72247","5100.43418","21.00000"
"4.74708","0.35132","-5048.95439","5190.76083","21.10000"
"4.76641","0.35299","3935.73008","5234.88317","21.20000"
"4.78809","0.35477","3979.41517","5285.63419","21.30000"
"4.80188","0.35612","3993.43343","5329.51346","21.40000"
"4.82560","0.35799","4010.05102","5388.06105","21.50000"
"4.84999","0.35989","4031.85887","5436.10658","21.60000"
"4.86150","0.36113","4046.83547","5467.02649","21.70000"
"4.88735","0.36308","4072.11669","5509.30761","21.80000"
"4.90330","0.36456","4088.66443","5541.09830","21.90000"
"4.92647","0.36639","4111.30581","5577.66296","22.00000"
"4.94245","0.36785","4127.07776","5608.80685","22.10000"
"4.96526","0.36967","4148.95639","5649.25838","22.20000"
"4.99046","0.37161","4172.60546","5693.62240","22.30000"
"4.99961","0.37273","4184.17901","5704.90630","22.40000"
"5.02714","0.37475","4208.58944","5749.69733","22.50000"
"5.04332","0.37623","4224.84986","5783.68269","22.60000"
"5.06569","0.37802","4247.16715","5820.59706","22.70000"
"5.08393","0.37959","-21389.52166","5855.13003","22.80000"
"5.10577","0.38136","4476.26738","5898.09939","22.90000"
"5.12787","0.38316","4305.56899","5950.31446","23.00000"
"5.13838","0.38434","4313.27056","5983.35871","23.10000"
"5.16818","0.38650","4339.97158","6040.40222","23.20000"
"5.04173","0.38700","-6410.67699","6519.50762","23.23200"
"4.91623","0.38719","-23427.72670","6226.93356","23.24600"
"4.79122","0.38790","-42416.12181","5467.72499","23.28900"
"4.81863","0.38955","-40453.75437","5407.85911","23.38900"
"4.83919","0.39104","-40479.80905","5438.02930","23.48900"
"4.86527","0.39284","-40479.86120","5469.46377","23.58900"
"4.89171","0.39463","-40481.12035","5443.19209","23.68900"
"4.90592","0.39583","-40480.95271","5377.15014","23.78900"
"4.94115","0.39810","-40480.69939","5395.33747","23.88900"
"4.75894","0.39937","-40481.43700","3074.79803","23.98500"
"4.59722","0.39940","-40481.36994","1284.46752","23.98700"
"4.39801","0.39944","-40481.54131","-887.96887","23.98900"
"4.17123","0.39948","-40481.76110","-3341.73231","23.99100"
"3.92430","0.39952","-40481.77972","-5994.80933","23.99300"
"3.79531","0.39955","-40481.69404","-7373.75906","23.99400"
"3.66369","0.39957","-40481.59346","-8776.96369","23.99500"
"3.53013","0.39960","-40481.52268","-10197.11979","23.99600"
"3.39536","0.39962","-40481.51523","-11627.45338","23.99700"
"3.25997","0.39965","-40481.57111","-13061.69573","23.99800"
"3.12448","0.39968","-40481.66052","-14494.07265","23.99900"
"2.98946","0.39972","-40481.76482","-15919.29421","24.00000"
"2.85538","0.39975","-40481.83933","-17332.54455","24.00100"
"2.72260","0.39978","-40481.85050","-18729.46508","24.00200"
"2.59156","0.39982","-40481.79835","-20106.14239","24.00300"
"2.46258","0.39986","-40481.68287","-21459.10449","24.00400"
"2.33598","0.39990","-40481.55248","-22785.29294","24.00500"
"2.09104","0.39999","-40481.42582","-25346.91803","24.00700"
"1.85849","0.40008","-40481.53386","-27773.25548","24.00900"
"1.63969","0.40017","-40481.68659","-30051.07678","24.01100"
"1.43557","0.40028","-40481.63444","-32171.36860","24.01300"
"1.24672","0.40038","-40481.38484","-34129.07943","24.01500"
"1.07341","0.40049","-40481.24328","-35922.64652","24.01700"
"0.91563","0.40060","-40481.32896","-37552.99747","24.01900"
"0.77314","0.40072","-40481.43700","-39022.95977","24.02100"
"0.64554","0.40083","-40481.33269","-40337.13043","24.02300"
"0.48077","0.40101","-40480.91546","-42030.55426","24.02600"
"0.34583","0.40117","-40480.93036","-43414.66725","24.02900"
"0.20754","0.40139","-40480.95644","-44829.39839","24.03300"
"0.09167","0.40163","-40480.53920","-46009.68584","24.03800"
