Specimen name,"CAG-CF-ER-Comp-E2"
Width,"9.80000",mm
Thickness,"2.30000",mm
Failure mode,<None>

Load,Extension,Front Strain,Rear Strain,Time
(kN),(mm),(usn),(usn),(s)
"4.39186","0.32962","3411.38826","5881.01102","19.80000"
"4.41357","0.33135","425.57876","5924.83813","19.90000"
"4.43542","0.33320","-39991.63583","5967.76372","20.00000"
"4.44588","0.33436","-42107.22446","5992.84098","20.10000"
"4.39579","0.33647","-42800.33335","7832.13973","20.20000"
"4.26664","0.33754","-39423.89786","5636.32092","20.27800"
"4.09193","0.33779","-39840.53060","4927.97419","20.29000"
"3.94684","0.33783","-38523.73362","4821.98503","20.29200"
"3.76027","0.33788","-36704.41359","4721.05807","20.29400"
"3.54331","0.33793","-34500.08109","4628.18006","20.29600"
"3.30369","0.33798","-32003.45859","4543.69187","20.29800"
"3.17748","0.33800","-30670.83843","4504.32301","20.29900"
"3.04804","0.33803","-29294.16858","4466.82982","20.30000"
"2.91612","0.33806","-27881.94641","4431.17972","20.30100"
"2.78240","0.33809","-26442.13475","4397.37644","20.30200"
"2.64761","0.33812","-24982.12829","4365.42323","20.30300"
"2.51231","0.33816","-23508.82255","4335.28190","20.30400"
"2.37701","0.33819","-22028.60825","4306.91056","20.30500"
"2.24230","0.33823","-20547.39185","4280.27660","20.30600"
"2.10860","0.33827","-19070.60668","4255.32972","20.30700"
"1.97630","0.33831","-17603.24836","4232.01919","20.30800"
"1.84582","0.33835","-16149.86546","4210.30493","20.30900"
"1.71747","0.33839","-14714.58096","4190.13109","20.31000"
"1.59158","0.33843","-13301.11176","4171.41942","20.31100"
"1.34816","0.33852","-10552.57116","4138.11905","20.31300"
"1.11732","0.33862","-7926.69971","4109.94096","20.31500"
"0.90038","0.33872","-5440.72082","4086.48187","20.31700"
"0.69821","0.33883","-3107.11516","4067.28312","20.31900"
"0.51135","0.33894","-934.23115","4051.92934","20.32100"
"0.34004","0.33905","1073.11644","4040.12576","20.32300"
"0.18423","0.33917","2913.26013","4031.47796","20.32500"
"0.04366","0.33928","4587.16135","4025.55801","20.32700"
